NAME,LAT,LON,PROB_PCT,RUN_DATE,RUN_HOUR_Z,HORIZON_H,THRESH_IN
Blairsville,34.8759,-83.9853,68,2026-01-22,00,144,0.1
Ellijay,34.6948,-84.4821,58,2026-01-22,00,144,0.1
Rome,34.2562,-85.1687,44,2026-01-22,00,144,0.1
Canton,34.2368,-84.4908,90,2026-01-22,00,144,0.1
Gainesville,34.2927,-83.8241,96,2026-01-22,00,144,0.1
Atlanta,33.7501,-84.3885,58,2026-01-22,00,144,0.1
Carrollton,33.5801,-85.0766,16,2026-01-22,00,144,0.1
Covington,33.5968,-83.8602,46,2026-01-22,00,144,0.1
Griffin,33.2468,-84.2641,16,2026-01-22,00,144,0.1
Eatonton,33.3268,-83.3885,14,2026-01-22,00,144,0.1
Lagrange,33.0362,-85.0322,2,2026-01-22,00,144,0.1
Thomaston,32.8882,-84.3266,6,2026-01-22,00,144,0.1
Athens,33.9597,-83.3764,92,2026-01-22,00,144,0.1
Hamilton,34.1423,-87.9886,64,2026-01-22,00,144,0.1
Haleyville,34.2265,-87.6214,48,2026-01-22,00,144,0.1
Cullman,34.1748,-86.8436,30,2026-01-22,00,144,0.1
Oneonta,33.9487,-86.4728,18,2026-01-22,00,144,0.1
Gadsden,34.0143,-86.0066,6,2026-01-22,00,144,0.1
Centre,34.1526,-85.6786,28,2026-01-22,00,144,0.1
Anniston,33.6598,-85.8316,8,2026-01-22,00,144,0.1
Fayette,33.6846,-87.8286,32,2026-01-22,00,144,0.1
Jasper,33.8318,-87.2775,18,2026-01-22,00,144,0.1
Birmingham,33.5186,-86.8104,10,2026-01-22,00,144,0.1
Pell City,33.5868,-86.2861,4,2026-01-22,00,144,0.1
Talladega,33.4359,-86.1058,6,2026-01-22,00,144,0.1
Ashland,33.2737,-85.835,8,2026-01-22,00,144,0.1
Aliceville,33.129,-88.1514,30,2026-01-22,00,144,0.1
Tuscaloosa,33.2098,-87.5692,8,2026-01-22,00,144,0.1
Eutaw,32.8404,-87.8875,18,2026-01-22,00,144,0.1
Greensboro,32.7043,-87.5956,4,2026-01-22,00,144,0.1
Demopolis,32.5174,-87.837,4,2026-01-22,00,144,0.1
Marion,32.6324,-87.3192,2,2026-01-22,00,144,0.1
Centreville,32.944,-87.1344,2,2026-01-22,00,144,0.1
Hoover,33.4054,-86.8114,10,2026-01-22,00,144,0.1
Clanton,32.8387,-86.6294,2,2026-01-22,00,144,0.1
Rockford,32.8896,-86.2197,6,2026-01-22,00,144,0.1
Alexander City,32.944,-85.9539,2,2026-01-22,00,144,0.1
