NAME,LAT,LON,PROB_PCT,RUN_DATE,RUN_HOUR_Z,HORIZON_H,THRESH_IN
Blairsville,34.8759,-83.9853,50,2026-01-20,12,240,0.75
Ellijay,34.6948,-84.4821,50,2026-01-20,12,240,0.75
Rome,34.2562,-85.1687,64,2026-01-20,12,240,0.75
Canton,34.2368,-84.4908,80,2026-01-20,12,240,0.75
Gainesville,34.2927,-83.8241,78,2026-01-20,12,240,0.75
Atlanta,33.7501,-84.3885,56,2026-01-20,12,240,0.75
Carrollton,33.5801,-85.0766,48,2026-01-20,12,240,0.75
Covington,33.5968,-83.8602,50,2026-01-20,12,240,0.75
Griffin,33.2468,-84.2641,44,2026-01-20,12,240,0.75
Eatonton,33.3268,-83.3885,42,2026-01-20,12,240,0.75
Lagrange,33.0362,-85.0322,18,2026-01-20,12,240,0.75
Thomaston,32.8882,-84.3266,40,2026-01-20,12,240,0.75
Athens,33.9597,-83.3764,80,2026-01-20,12,240,0.75
Hamilton,34.1423,-87.9886,60,2026-01-20,12,240,0.75
Haleyville,34.2265,-87.6214,58,2026-01-20,12,240,0.75
Cullman,34.1748,-86.8436,54,2026-01-20,12,240,0.75
Oneonta,33.9487,-86.4728,48,2026-01-20,12,240,0.75
Gadsden,34.0143,-86.0066,46,2026-01-20,12,240,0.75
Centre,34.1526,-85.6786,56,2026-01-20,12,240,0.75
Anniston,33.6598,-85.8316,44,2026-01-20,12,240,0.75
Fayette,33.6846,-87.8286,42,2026-01-20,12,240,0.75
Jasper,33.8318,-87.2775,34,2026-01-20,12,240,0.75
Birmingham,33.5186,-86.8104,22,2026-01-20,12,240,0.75
Pell City,33.5868,-86.2861,16,2026-01-20,12,240,0.75
Talladega,33.4359,-86.1058,20,2026-01-20,12,240,0.75
Ashland,33.2737,-85.835,28,2026-01-20,12,240,0.75
Aliceville,33.129,-88.1514,26,2026-01-20,12,240,0.75
Tuscaloosa,33.2098,-87.5692,14,2026-01-20,12,240,0.75
Eutaw,32.8404,-87.8875,12,2026-01-20,12,240,0.75
Greensboro,32.7043,-87.5956,4,2026-01-20,12,240,0.75
Demopolis,32.5174,-87.837,0,2026-01-20,12,240,0.75
Marion,32.6324,-87.3192,0,2026-01-20,12,240,0.75
Centreville,32.944,-87.1344,10,2026-01-20,12,240,0.75
Hoover,33.4054,-86.8114,22,2026-01-20,12,240,0.75
Clanton,32.8387,-86.6294,0,2026-01-20,12,240,0.75
Rockford,32.8896,-86.2197,16,2026-01-20,12,240,0.75
Alexander_City,32.944,-85.9539,14,2026-01-20,12,240,0.75
