NAME,LAT,LON,PROB_PCT,RUN_DATE,RUN_HOUR_Z,HORIZON_H,THRESH_IN
Blairsville,34.8759,-83.9853,40,2026-01-20,00,240,1.0
Ellijay,34.6948,-84.4821,42,2026-01-20,00,240,1.0
Rome,34.2562,-85.1687,58,2026-01-20,00,240,1.0
Canton,34.2368,-84.4908,70,2026-01-20,00,240,1.0
Gainesville,34.2927,-83.8241,82,2026-01-20,00,240,1.0
Atlanta,33.7501,-84.3885,60,2026-01-20,00,240,1.0
Carrollton,33.5801,-85.0766,46,2026-01-20,00,240,1.0
Covington,33.5968,-83.8602,48,2026-01-20,00,240,1.0
Griffin,33.2468,-84.2641,36,2026-01-20,00,240,1.0
Eatonton,33.3268,-83.3885,38,2026-01-20,00,240,1.0
Lagrange,33.0362,-85.0322,16,2026-01-20,00,240,1.0
Thomaston,32.8882,-84.3266,28,2026-01-20,00,240,1.0
Athens,33.9597,-83.3764,82,2026-01-20,00,240,1.0
