LOCATIONID,LOCATIONNAME,LATITUDE,LONGITUDE,Value
ACWORTH,Acworth,34.0659,-84.6769,54
ADAIRSVI,Adairsville,34.3687,-84.9341,57
ALPHARET,Alpharetta,34.0754,-84.2941,53
ATHENS,Athens,33.9519,-83.3576,54
ATLANTA,Atlanta,33.749,-84.388,53
AUSTELL,Austell,33.8126,-84.6344,54
BALL GRO,Ball Ground,34.3387,-84.3755,53
BARNESVI,Barnesville,33.0543,-84.1513,52
BLAIRSVI,Blairsville,34.8759,-83.9853,53
BLUE RID,Blue Ridge,34.8634,-84.3241,53
BUFORD,Buford,34.1207,-84.0044,53
BREMEN,Bremen,33.7212,-85.145,62
CALHOUN,Calhoun,34.5026,-84.9511,58
CANTON,Canton,34.2368,-84.4908,52
CARROLLT,Carrollton,33.5801,-85.0766,61
CARTERSV,Cartersville,34.1651,-84.7999,56
CHAMBLEE,Chamblee,33.8929,-84.2988,53
CLAYTON,Clayton,34.882,-83.4018,54
CLEVELAN,Cleveland,34.597,-83.7632,53
CONYERS,Conyers,33.6676,-84.0177,53
COVINGTO,Covington,33.5968,-83.8602,52
CUMMING,Cumming,34.2073,-84.1402,52
DAHLONEG,Dahlonega,34.5254,-83.986,53
DALLAS,Dallas,33.9237,-84.8408,56
DAWSONVI,Dawsonville,34.4212,-84.1199,52
DOUGLASV,Douglasville,33.7515,-84.7477,54
DULUTH,Duluth,34.0029,-84.1446,52
EATONTON,Eatonton,33.3268,-83.3885,54
ELLIJAY,Ellijay,34.6948,-84.4821,52
FAIRBURN,Fairburn,33.5673,-84.581,53
FAIRPLAY,Fairplay,33.6234,-84.8599,56
FAYETTEV,Fayetteville,33.4487,-84.4549,52
FLOWERY ,Flowery Branch,34.1851,-83.9255,53
GAINESVI,Gainesville,34.2979,-83.8241,53
GRIFFIN,Griffin,33.2468,-84.2641,53
GREENSBO,Greensboro,33.5757,-83.1824,53
HELEN,Helen,34.7029,-83.7307,53
HIRAM,Hiram,33.8757,-84.7624,54
HOMER,Homer,34.3351,-83.4966,53
JASPER,Jasper,34.4673,-84.4291,52
JOHNS CR,Johns Creek,34.0289,-84.1986,52
JONESBOR,Jonesboro,33.5215,-84.3538,53
KENNESAW,Kennesaw,34.0234,-84.6155,53
LAGRANGE,LaGrange,33.0362,-85.0322,59
LAWRENCE,Lawrenceville,33.9562,-83.9879,53
LITHONIA,Lithonia,33.7123,-84.1052,52
LOCUST G,Locust Grove,33.3459,-84.1094,52
LOGANVIL,Loganville,33.8387,-83.9007,53
MABLETON,Mableton,33.8187,-84.5824,53
MADISON,Madison,33.5957,-83.4679,54
MANCHEST,Manchester,32.8599,-84.6194,53
MARIETTA,Marietta,33.9526,-84.5499,53
MCDONOUG,McDonough,33.4473,-84.1469,52
MILLEDGE,Milledgeville,33.0801,-83.2321,53
MILTON,Milton,34.1322,-84.3007,53
MINERAL ,Mineral Bluff,34.9854,-84.2777,53
MONROE,Monroe,33.794,-83.7135,53
MONTICEL,Monticello,33.304,-83.6835,52
MORROW,Morrow,33.5832,-84.3394,53
NEWNAN,Newnan,33.3807,-84.7997,56
NORCROSS,Norcross,33.9412,-84.2135,52
PEACHTRE,Peachtree City,33.3968,-84.5958,53
POWDER S,Powder Springs,33.8596,-84.6838,54
ROCKMART,Rockmart,34.0026,-85.0416,59
ROME,Rome,34.2562,-85.1687,63
ROSWELL,Roswell,34.0232,-84.3616,53
SANDY SP,Sandy Springs,33.9304,-84.3733,53
SENOIA,Senoia,33.3029,-84.5538,52
SMYRNA,Smyrna,33.8839,-84.5144,52
SNELLVIL,Snellville,33.8573,-84.0199,53
SOCIAL C,Social Circle,33.6568,-83.7182,53
SOUTH FU,South Fulton,33.6015,-84.5505,53
STOCKBRI,Stockbridge,33.5443,-84.2338,52
STONE MO,Stone Mountain,33.8082,-84.1702,52
SUMMERVI,Summerville,34.4801,-85.3472,66
SUWANEE,Suwanee,34.0515,-84.0713,52
TALLAPOO,Tallapoosa,33.7443,-85.288,64
THOMASTO,Thomaston,32.8887,-84.3266,53
TOCCOA,Toccoa,34.5773,-83.3324,54
TUCKER,Tucker,33.8546,-84.2171,52
TYRONE,Tyrone,33.4718,-84.5977,53
UNION CI,Union City,33.5873,-84.5424,53
VILLA RI,Villa Rica,33.7321,-84.9191,56
WHITESBU,Whitesburg,33.494,-84.9138,56
WATKINSV,Watkinsville,33.8623,-83.4099,54
WEST POI,West Point,32.8776,-85.1846,63
WINDER,Winder,33.9926,-83.7204,53
WOODSTOC,Woodstock,34.1015,-84.5194,52
